zip,quantity,vendor,notes
12116,60,Cooperstown Crier,
12155,60,Cooperstown Crier,
12167,60,Cooperstown Crier,
12197,120,Cooperstown Crier,
13320,150,Cooperstown Crier,
13326,16314,Cooperstown Crier,
13337,168,Cooperstown Crier,
13348,150,Cooperstown Crier,
13439,126,Cooperstown Crier,
13450,180,Cooperstown Crier,
13468,120,Cooperstown Crier,
13750,60,Cooperstown Crier,
13753,120,Cooperstown Crier,
13796,150,Cooperstown Crier,
13807,270,Cooperstown Crier,
13820,924,Cooperstown Crier,
13838,60,Cooperstown Crier,
13860,60,Cooperstown Crier,
13861,60,Cooperstown Crier,
12204,60,Glens Falls Post-Star,
12308,252,Glens Falls Post-Star,
12801,2682,Glens Falls Post-Star,
12803,1488,Glens Falls Post-Star,
12804,4104,Glens Falls Post-Star,
12809,132,Glens Falls Post-Star,
12814,90,Glens Falls Post-Star,
12815,60,Glens Falls Post-Star,
12816,78,Glens Falls Post-Star,
12817,108,Glens Falls Post-Star,
12822,618,Glens Falls Post-Star,
12824,60,Glens Falls Post-Star,
12827,270,Glens Falls Post-Star,
12828,1026,Glens Falls Post-Star,
12831,576,Glens Falls Post-Star,
12832,324,Glens Falls Post-Star,
12834,120,Glens Falls Post-Star,
12835,138,Glens Falls Post-Star,
12839,1422,Glens Falls Post-Star,
12845,756,Glens Falls Post-Star,
12846,330,Glens Falls Post-Star,
12865,1776,Glens Falls Post-Star,
12866,780,Glens Falls Post-Star,
12870,108,Glens Falls Post-Star,
12871,78,Glens Falls Post-Star,
12883,102,Glens Falls Post-Star,
12885,414,Glens Falls Post-Star,
12887,204,Glens Falls Post-Star,
99999,564,Glens Falls Post-Star,
13145,150,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13312,240,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13327,480,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13345,120,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13367,1500,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13368,330,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13433,150,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13437,60,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13601,28500,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13605,1050,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13606,300,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13607,1932,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13608,90,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13611,90,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13612,150,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13615,150,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13616,300,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13618,1500,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13619,2370,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13622,1500,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13624,1950,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13626,450,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13632,300,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13634,1200,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13637,1620,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13640,150,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13641,150,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13643,300,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13648,60,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13650,120,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13656,240,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13661,90,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13673,180,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13679,300,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13685,360,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13691,90,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13145,150,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13312,240,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13327,480,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13345,120,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13367,1500,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13368,330,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13433,150,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13437,60,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13601,28500,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13605,1050,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13606,300,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13607,1932,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13608,90,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13611,90,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13612,150,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13615,150,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13616,300,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13618,1500,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13619,2370,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13622,1500,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13624,1950,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13626,450,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13632,300,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13634,1200,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13637,1620,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13640,150,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13641,150,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13643,300,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13648,60,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13650,120,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13656,240,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13661,90,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13673,180,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13679,300,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13685,360,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
13691,90,Jefferson County Northern New York PennySaver TMC,T-Full Run Only
12912,3396,Lake Placid Tri-Lakes Valley News Sun,V2
12913,1908,Lake Placid Tri-Lakes Valley News Sun,V6
12939,414,Lake Placid Tri-Lakes Valley News Sun,V6
12941,2490,Lake Placid Tri-Lakes Valley News Sun,V2
12942,1290,Lake Placid Tri-Lakes Valley News Sun,V2
12943,900,Lake Placid Tri-Lakes Valley News Sun,V2
12945,906,Lake Placid Tri-Lakes Valley News Sun,V6
12946,9006,Lake Placid Tri-Lakes Valley News Sun,V5
12970,1146,Lake Placid Tri-Lakes Valley News Sun,V6
12976,564,Lake Placid Tri-Lakes Valley News Sun,V6
12977,420,Lake Placid Tri-Lakes Valley News Sun,V5
12983,13446,Lake Placid Tri-Lakes Valley News Sun,V6
12987,342,Lake Placid Tri-Lakes Valley News Sun,V2
12989,1746,Lake Placid Tri-Lakes Valley News Sun,V6
12997,2532,Lake Placid Tri-Lakes Valley News Sun,V2
12944,9840,Lake Placid Tri-Lakes Valley News Sun,
13040,0,Norwich Evening Sun,Full Run Only
13072,18,Norwich Evening Sun,Full Run Only
13155,66,Norwich Evening Sun,Full Run Only
13332,192,Norwich Evening Sun,Full Run Only
13346,0,Norwich Evening Sun,Full Run Only
13411,288,Norwich Evening Sun,Full Run Only
13460,750,Norwich Evening Sun,Full Run Only
13464,150,Norwich Evening Sun,Full Run Only
13733,66,Norwich Evening Sun,Full Run Only
13778,312,Norwich Evening Sun,Full Run Only
13780,144,Norwich Evening Sun,Full Run Only
13801,60,Norwich Evening Sun,Full Run Only
