zipcode,visitors
01001,14
01001,14
01007,N/A
01074,N/A
01085,17
01088,46
01089,21
01220,N/A
01237,135
01337,29
01430,N/A
01462,N/A
01473,17
01515,18
01590,21
01606,N/A
01610,33
01701,30
01776,N/A
01821,20
01830,15
01852,18
01862,7
01930,34
01970,N/A
01984,N/A
02043,N/A
02045,52
02128,N/A
02138,90
02176,N/A
02347,N/A
02421,31
02465,77
02649,N/A
02780,22
02818,20
02831,N/A
02852,23
02885,N/A
02903,17
03048,N/A
03103,N/A
03104,N/A
03220,20
03229,N/A
03246,N/A
03249,24
03249,30
03261,15
03264,N/A
03276,26
03276,N/A
03304,N/A
03304,15
03431,15
03431,39
03431,15
03446,13
03465,N/A
03465,N/A
03465,N/A
03465,98
03465,87
03470,13
03470,13
03470,N/A
03561,11
03598,25
03743,11
03766,N/A
03770,10
03773,34
03781,33
03824,N/A
03861,93
03861,N/A
03909,26
04027,14
04029,12
04030,78
04043,19
04064,N/A
04073,N/A
04240,26
04330,15
04401,N/A
04427,N/A
04473,20
04684,N/A
04928,8
04976,13
05031,23
05032,48
05034,31
05035,182
05056,84
05061,18
05072,21
05077,N/A
05091,N/A
05101,16
05101,39
05101,47
05101,48
05142,16
05143,N/A
05148,N/A
05149,21
05151,18
05153,97
05155,19
05156,48
05161,N/A
05201,43
05201,66
05250,N/A
05251,N/A
05253,N/A
05257,N/A
05257,N/A
05261,14
05262,64
05301,28
05363,44
05363,29
05363,N/A
05363,N/A
05401,67
05403,25
05403,24
05405,42
05408,28
05445,N/A
05446,49
05450,N/A
05452,40
05454,15
05456,19
05458,31
05462,25
05465,N/A
05468,31
05468,N/A
05473,150
05477,35
05478,16
05483,13
05486,19
05489,48
05491,21
05491,N/A
05641,70
05654,N/A
05661,N/A
05661,21
05661,21
05663,64
05669,N/A
05672,46
05675,15
05679,N/A
05701,23747
05701,16
05730,24
05732,33
05733,617
05734,57
05735,264
05735,17
05736,400
05737,552
05738,366
05739,286
05742,93
05743,114
05743,13
05744,217
05751,473
05753,N/A
05757,149
05758,37
05759,758
05760,57
05761,21
05761,18
